food,pricerange,area,name,utts
,,,,I need a place to grab a bite to eat today in Cambridge.
,,centre,,I'm looking for a restaurant in centre.
jamaican,cheap,,,"A cheap jamaican restaurant, please. If you cannot find one, then mediterranean."
austrian,expensive,,,Could you tell me if Cambridge has any expensive Austrian restaurants?
,expensive,east,,"I'm looking for and expensive restaurant in the east part of town. Ask for address, phone number and type of food."
,moderate,west,,I want to find a moderately priced restaurant in the west part of town. What is the address?
,moderate,,,I am looking for a moderate priced restaurant while I am visiting.
,,,stazione restaurant and coffee bar,I am looking for a place called stazione restaurant and coffee bar. Can you help me?
,moderate,north,,I'm looking for a moderately priced place to eat in the North please
persian,expensive,,,I am looking for an expensive restaurant that serves Persian food.
,expensive,,,I am looking for an expensive restaurant for us to eat at. Some place nice.
north indian,,,,I need a place to eat that serves north indian food.
,cheap,north,,I need the address and postcode of a cheap restaurant on the north side of town.
,cheap,west,,i am looking for a place to dine. The restaurant should be in the cheap price range and should be in the west part of town.
,cheap,west,,I want something cheap in the west part of town.
,moderate,south,,I'm looking for a moderate place to dine in the south. Do you have any recommendations?
halal,moderate,,,"Would you be able to tell me where to find a moderately priced, Halal restaurant?"
,,,la tasca,I don't know if you've heard of it but can you please get me some information on the la tasca restaurant?
korean,expensive,,,"I am looking for an expensive restaurant that serves Korean food. I would like the address and area, please."
,,,little seoul,I'm looking for a restaurant called little seoul?
mediterranean,,,,I'm coming to visit Cambridge! I can't wait to see all of the local tourist attractions! Do you have any Mediterranean restaurants around there?
indian,moderate,,,Can you help me find a moderately priced Indian food restaurant?
,moderate,centre,,Can you recommend a restaurant in the center of Cambridge that has moderate prices?
scottish,,,,Hello! I'm looking for a nice restaurant that serves Scottish food. Can you recommend one?
,,,,"Hi, I need to locate a particular restaurant please."
,expensive,,,I am seeking an expensive restaurant in Cambridge.
indian,,east,,Please see if you can find me an Indian restaurant on the East end
,cheap,west,,I'm looking for a cheap restaurant in the west area of town.
,,,ask,I'm looking for a restaurant called ask. Do you know of it?
,expensive,centre,,I'm looking for a nice expensive restaurant to dine in aat the centre of town.
,moderate,south,,"Hi, I'm looking for a moderately priced restaurant on the south side of town."
,moderate,south,,"Hello, I am looking for a moderately priced restaurant in the south part of town."
,,north,,I am looking for restaurants in the north part of town
,,centre,,I am looking for a place to eat in town centre.
,,,taj tandoori,"Hey, I'm trying to find a restaurant called Taj Tandoori. What do you know about that?"
,,,galleria,Please find a restaurant called Galleria.
,,,meghna,While in Cambridge I would really like to know where to find a place to eat called meghna.
indian,expensive,,,"Id like to eat at an expensive Indian place, know any?"
,,,rice house,"Hello, I am looking for information on a restaurant name Rice House."
italian,cheap,,,Can you please help me find a cheap italian restaurant?
,,,shanghai family restaurant,I am looking for a restaurant called shanghai family restaurant.
,,,maharajah tandoori restaurant,"Find me a place called maharajah tandoori restaurant, please"
cuban,,east,,"I am looking for a Cuban food place, in the east."
steakhouse,moderate,,,I would like a moderately priced steakhouse restaurant.
muslim,,,,You may help me by finding a Muslim restaurant for me to eat at please.
asian oriental,moderate,,,I want a moderately priced restaurant and serves asian oriental food. What is the address and phone number?
caribbean,,,,Do you have any restaurants that serve caribbean food?
mediterranean,cheap,,,I would like a cheap restaurant that serves mediterranean food
christmas,,centre,,I am looking for a place serving christmas food in the centre of town.
dontcare,dontcare,dontcare,india house,I am looking for some info on India House
indian,moderate,,,I am looking for a place to eat in the moderate price range serving Indian food.
,,north,,I am looking for a place to eat in the north. Can you help me?
modern european,,,,"Hello, I'm looking for a modern European restaurant. Got any?"
indian,,,,I am looking for a restaurant that serves indian food.
,,,,"I was looking for a specific restaurant, please."
belgian,,centre,,I want to know if there are any places serving Belgian food in the centre?
russian,,centre,,I am looking for a restaurant in the center of town that serves Russian food.
,cheap,west,,I need a cheap restuarant. Probably in the west part of town
light bites,moderate,,,I'm looking for a place to eat in Cambridge. I'd like to eat light bites in the mid price range please.
the americas,cheap,,,Find me a place to dine on some cheap foods from the americas please.
,,north,,I'm looking for a restaurant in the north.
australasian,,north,,I would like a restaurant in the north part of town that serves australasian food
mediterranean,,centre,,Hi! I'm planning my trip to Cambridge and I was wondering if you had information on any Mediterranean restaurants located in the centre of Cambridge?
,,,thanh binh,I am looking for a restaurant called thanh binh in Cambridge.
,moderate,north,,I would like a moderately priced restaurant in the north part of town
indian,expensive,,,I'm looking for an expensive indian restaurant.
gastropub,,east,,I would like a restaurant in the east part of town that serves gastropub food
turkish,expensive,,,Can you find me a Turkish restaurant in the expensive price range please?
international,,west,,I would like a restaurant in the west part of town that serves international food
british,expensive,,,"Hello, I'm looking for an expensive restaurant that serves british food please"
,,north,,I need to find a restaurant in the north side of town
russian,,,,Can you help me find a Russian restaurant?
,,east,,What kind of restaurants are on the east side of town?
steakhouse,,east,,I'm looking for a steakhouse restaurant in the east part of town.
,,,bangkok city,What can you tell me about the bangkok city restaurant?
,cheap,centre,,I am looking for a cheap restaurant in the centre of town.
,,centre,,I am looking for a place to dine in the Centre. Can you help me?
,cheap,centre,,"What's available in the centre, in the way of cheap places to eat?"
,cheap,north,,I am looking for a restaurant in the north part of town that is in the cheap price range.
,,,curry prince,"I'm looking for a restaurant my friend recommended, I think she called it the Curry Prince."
,cheap,north,,What is the address and phone number of a cheap restaurant in the north part of town?
british,,,,"Greetings, got any British food places in town?"
,expensive,centre,,I'm looking for an expensive restaurant in the centre
